Year;Month;Day;Hour;Min;Sec;EpicentralArea;Lat;Lon;Dep;Io;Mw;ErMw
1792;7;20;;;;Ternano;42,532;12,714;;6-7;5,06;0,32
1792;10;20;;;;Carnia;46,512;12,992;;4;3,7;0,46
1792;;;;;;Etna - Versante orientale;37,643;15,157;;7-8;4,03;0,36
1793;4;21;;;;Appennino umbro-marchigiano;43,025;12,811;;7-8;5,33;0,46
1793;7;25;;;;Isole Pontine;40,844;13,198;;6;4,63;0,46
1794;5;12;10;59;;Tirol, Innsbruck;47,27;11,39;;6;4,63;0,46
1794;6;7;0;45;;Prealpi Friulane;46,306;12,821;;8-9;5,96;0,21
1794;6;12;22;30;;Irpinia;41,108;14,924;;7;5,26;0,37
1794;6;15;;;;Area vesuviana;40,786;14,367;;4;2,87;0,5
1794;6;30;4;45;;Prealpi Friulane;46,297;12,795;;7-8;5,4;0,32
1795;1;1;2;15;;Carnia;46,512;12,992;;5;4,16;0,46
1795;2;14;19;15;;Siena;43,318;11,332;;4;3,7;0,46
1795;6;19;23;30;;Maceratese;43,182;13,443;;6;4,7;0,44
1795;8;15;;;;Monti Tiburtini;41,918;12,871;;6;4,63;0,46
1796;2;5;2;;;Aretino;43,534;11,873;;7;4,96;0,52
1796;3;18;16;30;;Isola d'Ischia;40,746;13,909;;8;3,88;0,5
1796;10;22;4;;;Emilia orientale;44,614;11,67;;7;5,45;0,3
1797;10;30;5;;;Carnia;46,512;12,992;;4;3,7;0,46
1798;5;26;;;;Senese;43,343;11,417;;6-7;4,85;0,34
1798;9;8;16;45;;Val d'Orcia;43,077;11,651;;6-7;4,86;0,46
1799;2;22;5;45;;Correggio;44,771;10,779;;5;4,16;0,46
1799;5;29;19;;;Bresciano;45,404;10,27;;6-7;5,04;0,51
1799;7;28;22;5;;Appennino marchigiano;43,193;13,151;;9;6,18;0,1
1799;9;9;10;30;;Foligno;42,955;12,704;;7;5,1;0,46
1799;10;26;4;;;Carnia;46,512;12,992;;4;3,7;0,46
1800;12;29;10;15;;Colli Albani;41,688;12,778;;6;4,74;0,63
1801;7;18;18;;;Carnia;46,512;12,992;;4;3,7;0,46
1801;10;8;7;52;53;Bolognese;44,466;11,421;;6;4,9;0,64
1802;5;12;9;30;;Valle dell'Oglio;45,424;9,839;;8;5,6;0,14
1802;8;10;1;45;;Toscana centrale;43,541;10,774;;5;4,16;0,46
1802;10;30;18;30;;Val d'Orcia;43,085;11,535;;7;5,15;0,47
1803;3;1;16;;;Carnia;46,512;12,992;;4;3,7;0,46
1803;4;7;;;;Gran Sasso;42,505;13,551;;4-5;3,93;0,46
1804;5;22;19;15;;Gran Sasso;42,529;13,646;;8;5,42;0,29
1804;7;28;23;;;Valle Umbra;42,796;12,728;;6-7;4,95;0,48
1804;10;2;21;55;;Valdelsa;43,489;11,147;;4;4,18;0,29
1804;10;6;10;30;;Valdelsa;43,318;11,332;;4;3,7;0,46
1804;10;18;20;;;Valdelsa;43,453;11,105;;7;5,1;0,46
1804;12;17;;;;Valdelsa;43,419;11,162;;6;4,84;0,65
1804;;;;;;Valdelsa;43,605;11,111;;6-7;4,86;0,46
1805;5;9;1;;;Maceratese;43,459;13,483;;5-6;4,4;0,46
1805;7;11;;;;Etna - Fondo Macchia (Giarre);37,718;15,15;;8-9;4,59;0,38
1805;7;26;21;;;Molise;41,5;14,474;;10;6,68;0,1
1805;10;13;22;;;Pianura Campana;41,002;14,393;;7;5,1;0,46
1805;11;30;5;;;Grigioni, Albula;46,57;9,78;;4;3,2;1
1806;2;12;;;;Reggiano;44,862;10,671;;7;5,21;0,26
1806;3;31;;;;Liguria occidentale;43,844;7,749;;5;4,62;0,63
1806;6;20;23;15;;Côte d'Azur;43,7;7,267;;6;4,63;0,46
1806;7;21;9;;;Cassinese;41,491;13,814;;5-6;4,4;0,46
1806;8;26;7;35;;Colli Albani;41,718;12,725;;8;5,61;0,27
1807;1;28;17;;;Isernia;41,592;14,228;;5-6;4,4;0,46
1807;9;5;1;30;;Liguria occidentale;43,948;7,945;;5-6;4,81;0,36
1807;11;11;;;;Val d'Agri;40,3;15,84;;6-7;4,87;0,63
1807;12;19;1;30;;Biellese;45,552;7,97;;5;4,16;0,46
1808;4;2;16;43;;Val Pellice;44,838;7,248;;8;5,64;0,1
1808;4;2;20;15;;Val Pellice;44,823;7,261;;7;5,02;0,58
1808;4;16;1;15;;Val Pellice;44,846;7,316;;7;5,34;0,32
1808;4;18;3;;;Val Pellice;44,88;7,188;;6-7;5,11;0,38
1808;4;20;10;;;Val Pellice;44,814;7,293;;6;4,85;0,38
1808;10;26;21;;;Livorno;43,551;10,309;;6;4,63;0,46
1809;8;14;11;;;Aquilano;42,351;13,399;;6;4,63;0,46
1809;8;25;12;13;;Macerata;43,3;13,453;;6;4,63;0,46
1810;5;1;;;;Monte Baldo;45,764;10,809;;6;4,63;0,46
1810;7;13;13;;;Colli Albani;41,72;12,671;;5-6;4,4;0,46
1810;9;30;;;;Valle del Metauro;43,608;12,239;;4-5;3,93;0,46
1810;12;25;0;45;;Pianura emiliana;44,9;10,719;;6;5,06;0,2
1811;2;18;2;15;;Colli Albani;41,89;12,652;;4-5;3,93;0,46
1811;6;6;22;45;;Grigioni, Chur;46,867;9,533;;5;3,9;1
1811;7;15;22;44;;Modenese-Reggiano;44,572;10,728;;6-7;5,13;0,34
1811;8;1;19;;;Reggio di Calabria;38,108;15,647;;5-6;4,4;0,46
1812;3;22;2;20;;Campagna romana;41,899;12,477;;6-7;4,86;0,46
1812;9;11;12;;;Val di Pesa;43,659;11,14;;7-8;5,24;0,34
1812;10;25;7;;;Pordenonese;46,027;12,589;;7-8;5,62;0,25
1813;9;21;7;45;;Romagna;44,25;11,97;;7;5,28;0,49
1813;9;22;1;30;;Bassa Engadina, Ardez;46,76;10,19;;5;4,6;0,5
1814;4;3;;;;Costa pisano-livornese;43,635;10,355;;6-7;5,12;0,45
1814;4;28;;;;Tirol, Innsbruck;47,27;11,39;;6;4,63;0,46
1814;11;25;;;;Beneventano;41,131;14,778;;5-6;4,4;0,46
1814;12;1;6;;;Beneventano;41,131;14,778;;6;4,63;0,46
1815;1;11;23;30;;Monte Amiata;42,865;11,683;;6-7;4,86;0,46
1815;2;26;;;;Prealpi Vicentine;45,722;11,433;;4;3,7;0,46
1815;8;12;;;;Pistoia;43,933;10,915;;6;4,63;0,46
1815;9;3;23;;;Valnerina;42,832;13,015;;8;5,58;0,22
1817;1;14;;;;Stretto di Sicilia;37,508;13,083;;4-5;3,93;0,46
1817;3;11;21;25;;Massif du Mont-Blanc;46;6,742;;7;5,4;0,14
1817;4;17;;;;Potentino;40,576;15,763;;4-5;3,97;0,54
1817;10;19;2;30;;Messina;38,185;15,555;;5-6;4,4;0,46
1817;11;12;3;;;Genève, Le Léman;46,217;6,15;;4;4,03;0,34
1818;2;20;18;15;;Catanese;37,603;15,14;;9-10;6,28;0,1
1818;2;23;18;10;;Liguria occidentale;43,92;8,034;;7;5,32;0,22
1818;3;1;2;45;;Monti Iblei;37,204;14,756;;7-8;5,57;0,44
1818;9;8;9;50;;Monti Madonie;37,813;14,082;;7-8;5,34;0,26
1818;12;9;18;55;;Parmense;44,696;10,296;;7;5,24;0,38
1819;1;8;22;30;;Liguria occidentale;43,865;7,932;;6-7;4,86;0,46
1819;2;24;23;20;;Monti Madonie;37,939;14,042;;7-8;5,37;0,37
1819;5;2;14;;;Slovenia occidentale;46;14,02;;6-7;4,86;0,46
1819;5;26;16;30;;Tarquinia;42,252;11,757;;7;5,1;0,46
1819;7;26;;;;Val di Noto;37,502;15,087;;4-5;3,93;0,46
1820;7;17;6;30;;Tirol, Schwaz;47,35;11,71;;7;5,1;0,46
1820;;;;;;Mineo;37,266;14,691;;5-6;4,4;0,46
1821;3;22;;;;Rieti;42,402;12,86;;7;5,1;0,46
1821;8;2;;;;Calabria centrale;38,939;16,456;;7;5,1;0,46
1821;9;13;;;;Calabria centrale;38,939;16,456;;6;4,63;0,46
1821;11;22;1;15;;Costa molisana;41,975;15,214;;7-8;5,59;0,36
1822;3;16;;;;Vasto;42,117;14,708;;7-8;5,33;0,46
1822;4;6;;;;Nicosia;37,747;14,398;;5-6;4,34;0,44
1822;7;14;;;;Crotonese;39,282;16,903;;6;4,63;0,46
1822;8;12;2;30;;Ljubljana;46,05;14,5;;6;4,63;0,46
1823;3;5;16;37;;Sicilia settentrionale;38,185;14,344;;8;5,81;0,13
1823;3;27;;;;Isole Egadi;37,931;12,329;;6-7;4,86;0,46
1824;2;4;21;50;;Oltrepò Pavese;44,92;9,126;;5;4,49;0,47
1824;8;12;7;;;Appennino forlivese;43,867;12,01;;6;4,63;0,46
1824;12;11;;;;Sila Greca;39,54;16,588;;7-8;5,33;0,46
1825;4;11;19;15;;Appennino lucano;39,977;15,882;;4-5;3,93;0,46
1825;10;27;10;;;Isernia;41,592;14,228;;5-6;4,4;0,46
1826;2;1;16;;;Potentino;40,52;15,726;;8;5,74;0,31
1826;6;24;12;15;;Garda occidentale;45,606;10,522;;5;4,62;0,22
1826;10;26;18;;;Salento;40,502;17,433;;6-7;5,22;0,38
1826;10;;;;;Appennino forlivese;44,06;11,842;;5-6;4,4;0,46
1826;11;11;4;28;;Pavia;45,185;9,155;;5;4,16;0,46
1827;2;26;;;;Vallese, Brig;46,29;8,06;;4;3,2;1
1827;4;2;0;20;;Bassa Engadina, Ardez;46,703;10,11;;6;5;0,29
1827;4;11;;;;Isole Pontine;40,892;12,965;;4;3,7;0,46
1827;11;21;2;;;Berna, Wengen;46,583;7,9;;5-6;4,3;1
1828;2;2;9;15;;Isola d'Ischia;40,745;13,899;;8-9;4,01;0,5
1828;3;12;;;;Calabria meridionale;38,526;15,996;;7;5,1;0,46
1828;4;8;;;;Appennino forlivese;44,115;12,004;;6;4,63;0,46
1828;4;11;22;25;;Appennino umbro-marchigiano;43,326;12,41;;5-6;4,93;0,28
1828;5;18;;;;Sicilia occidentale;37,797;12,447;;7;5,1;0,46
1828;10;8;22;30;;Romagna;44,174;12,09;;5-6;4,57;0,63
1828;10;9;2;20;;Oltrepò Pavese;44,821;9,047;;8;5,72;0,1
1829;6;1;9;;;Colli Albani;41,754;12,68;;7;4,87;0,32
1829;7;3;13;;;Gargano;41,864;15,353;;4-5;3,93;0,46
1829;9;6;19;30;;Cremona;45,135;10,023;;5-6;4,4;0,46
1830;1;26;4;30;;Alto Reno;44,213;11,074;;5;4,53;0,34
1830;7;13;15;;;Reggio di Calabria;38,108;15,647;;5-6;4,4;0,46
1830;8;11;12;20;;Carinthia, Loiblpass;46,49;14,27;;6;4,63;0,46
1830;12;29;11;;;Maiella;42,216;14,017;;5-6;4,4;0,46
1831;1;2;14;7;;Appennino lucano;40,082;15,786;;8;5,53;0,34
1831;1;28;;;;Milazzo;38,224;15,24;;5-6;4,4;0,46
1831;5;26;10;30;;Liguria occidentale;43,855;7,849;;8;5,56;0,26
1831;5;28;12;45;;Liguria occidentale;43,859;7,922;;6;4,73;0,35
1831;7;14;15;30;;Reggiano;44,749;10,48;;5-6;4,6;0,37
1831;9;11;18;15;;Pianura emiliana;44,753;10,544;;7-8;5,48;0,26
1831;9;;;;;Irpinia;40,927;15,177;;6;4,63;0,46
1831;11;23;4;17;;Matese;41,484;14,469;;5-6;4,4;0,46
1831;11;25;1;45;;Liguria occidentale;43,819;7,774;;5;4,16;0,46
1831;12;15;;;;Stretto di Sicilia;37,508;13,083;;5;4,16;0,46
1832;1;13;13;;;Valle Umbra;42,98;12,605;;10;6,43;0,1
1832;2;21;;;;Campi Flegrei;40,856;14,093;;4-5;2,99;0,5
1832;3;8;18;30;;Crotonese;39,079;16,919;;10;6,65;0,1
1832;3;11;6;45;;Carpi;44,778;10,832;;5;4,51;0,33
1832;3;13;3;30;;Reggiano;44,765;10,494;;7-8;5,51;0,12
1832;4;12;;;;Calabria centrale;38,77;16,292;;5;4,16;0,46
1832;10;31;;;;Etna - Versante occidentale;37,76;14,845;;6-7;3,47;0,33
1832;10;31;;;;Foligno;42,955;12,704;;5-6;4,4;0,46
1832;11;14;11;;;Appennino umbro-marchigiano;42,955;13,108;;6;4,76;0,58
1832;11;21;21;;;Appennino umbro-marchigiano;42,951;13,12;;6;4,78;0,49
1832;11;24;0;0;;Etna - Nicolosi;37,614;15,026;;7;3,75;0,34
1832;12;4;19;;;Appennino umbro-marchigiano;43,005;13,07;;7-8;5,35;0,44
1833;1;11;0;50;;Ljubljana;45,98;14,57;;5;4,16;0,46
1833;11;20;0;25;;Alta Carniola;46,37;14,3;;5;4,16;0,46
1834;2;2;8;2;;Carniola interna;45,77;14,23;;5;4,16;0,46
1834;2;14;13;15;;Val di Taro-Lunigiana;44,432;9,859;;9;5,96;0,11
1834;7;4;0;45;;Val di Taro-Lunigiana;44,531;9,948;;6-7;5,08;0,29
1834;10;4;19;;;Bolognese;44,479;11,32;;6;4,71;0,35
1835;2;6;18;50;;Mugello;43,962;11,416;;6;4,63;0,46
1835;4;18;17;25;;Berna, Interlaken;46,683;7,833;;5;3,9;1
1835;4;20;3;;;Val di Taro;44,488;9,767;;5;4,16;0,46
1835;4;25;2;45;;Val di Taro;44,454;9,686;;5-6;4,77;0,48
1835;5;23;8;30;;Cuneese;44,33;7,551;;6-7;4,86;0,46
1835;10;12;22;35;;Cosentino;39,33;16,293;;9;5,89;0,28
1835;10;31;7;30;;Carinthia, Spittal/Trebesn;46,88;13,51;;5-6;4,4;0,46
1835;12;23;;;;Cassinese;41,491;13,814;;5;4,16;0,46
1836;4;25;0;20;;Calabria settentrionale;39,567;16,737;;9;6,18;0,18
1836;5;4;;;;Stretto di Messina;38,108;15,647;;6-7;4,86;0,46
1836;5;22;7;55;;Calabria settentrionale;39,574;16,635;;5-6;4,4;0,46
1836;6;12;2;30;;Asolano;45,803;11,825;;8;5,53;0,25
1836;6;19;3;15;;Calabria settentrionale;39,574;16,635;;5;4,16;0,46
1836;6;29;1;28;;Ljubljana;46,07;14,65;;6;4,63;0,46
1836;7;27;7;30;;Calabria settentrionale;39,574;16,635;;5-6;4,4;0,46
1836;11;20;7;30;;Appennino lucano;40,142;15,776;;8;5,86;0,22
1837;1;24;1;;;Berna, Birgisch;46,32;7,97;;7;5,4;0,5
1837;4;11;17;;;Lunigiana;44,175;10,182;;9;5,94;0,14
1837;5;14;5;;;Cassinese;41,505;13,808;;6;4,69;0,65
1837;6;21;10;;;Carinthia;46,5;14,84;;6;4,63;0,46
1838;1;5;14;;;Valnerina;42,765;12,788;;7;5,1;0,58
1838;2;14;7;30;;Valnerina;42,84;12,909;;8;5,48;0,36
1838;3;5;;;;Costa molisana;42,058;14,851;;4-5;3,93;0,46
1838;6;23;;;;Costa pesarese;43,806;13,008;;6;4,63;0,46
1838;8;5;17;15;;Valnerina;42,877;12,884;;7;5,19;0,4
1838;8;10;19;30;;Costa croata settentrionale;45,2;14,5;;7;5,1;0,46
1839;3;26;15;50;;Maurienne;45,236;6,305;;5-6;4,64;0,12
1839;8;9;8;45;;Brescia;45,539;10,22;;5;4,16;0,46
1839;8;11;20;;;Avant-Pays Savoyard;45,892;6,096;;7;5,1;0,67
1839;8;27;;;;Stretto di Messina;38,147;15,601;;5;4,16;0,46
1840;4;24;2;30;;Stretto di Messina;38,108;15,647;;5;4,16;0,46
1840;8;27;12;5;;Tuhinj Valley;46,207;14,707;;7;5,28;0,14
1840;8;30;5;;;Tuhinj Valley;46,226;14,612;;4;3,7;0,46
1841;1;3;22;;;Stretto di Messina;38,108;15,647;;6-7;4,86;0,46
1841;2;21;;;;Gargano;41,627;15,637;;6-7;5,17;0,24
1841;3;6;12;;;Isola d'Ischia;40,749;13,899;;5-6;3,25;0,5
1841;3;20;;;;Isole Eolie;38,468;14,958;;5;4,16;0,46
1841;4;14;4;;;Cagliese;43,546;12,651;;5-6;4,4;0,46
1841;6;10;;;;Maiella;42,082;14,08;;7;4,96;0,48
1841;8;15;2;;;Stretto di Messina;38,147;15,601;;5;4,16;0,46
1841;10;6;3;;;Carnia;46,417;13;;6;4,63;0,46
1841;10;15;22;;;Veronese;45,167;11,11;;5;4,27;0,39
1841;10;18;13;;;Valle del Pescara;42,244;13,933;;5;4,16;0,46
1842;1;23;;;;San Severino Marche;43,229;13,177;;4-5;4,41;0,37
1842;3;30;0;30;;Vaud, Bex;46,25;7,01;;3;2,4;1
1842;11;18;1;15;;Etna - Belpasso;37,607;15,022;;6-7;3,47;0,33
1843;10;25;3;30;;Mugello;44,003;11,261;;6-7;5,03;0,24
1843;11;18;;;;Narni;42,517;12,521;;6-7;4,86;0,46
1843;12;7;;;;Misilmeri;38,035;13,451;;5-6;4,4;0,46
1844;2;7;22;16;;Adriatico centrale;42;17;;;;
1844;3;10;17;15;;Forlivese;44,18;12,142;;5-6;4,4;0,46
1844;7;17;;;;Monti Prenestini;41,839;12,891;;6-7;4,86;0,46
1845;1;20;5;15;;Valle Scrivia;44,781;8,999;;4;3,7;0,46
1845;8;10;;;;Materano;40,667;16,611;;5;4,51;0,34
1845;9;14;22;20;;Appennino tosco-emiliano;43,843;10,505;;5;4,73;0,43
1845;12;21;20;40;;Ljubljana;46;14,419;;5;4,16;0,46
1845;12;22;1;;;Ljubljana;46,08;14,52;;6;4,63;0,46
1846;4;22;19;45;;Piana di Catania;37,538;14,923;;6;4,94;0,46
1846;8;8;;;;Potentino;40,523;16,13;;6-7;5,18;0,24
1846;8;14;12;;;Colline Pisane;43,47;10,562;;9;6,04;0,1
1846;9;11;;;;Rossano;39,574;16,635;;5;4,16;0,46
1848;1;11;12;;;Golfo di Catania;37,428;15,25;;7-8;5,51;0,26
1848;5;12;;;;Senese;43,322;11,331;;6-7;5,05;0,57
1848;6;9;23;15;;L'Aquila;42,351;13,399;;5;4,16;0,46
1848;7;5;23;;;Isola di Ventotene;40,797;13,431;;6;4,63;0,46
1848;8;3;0;5;;Adriatico centrale;42;17;;;;
1848;10;7;3;;;Reggio di Calabria;38,108;15,647;;5;4,16;0,46
1848;12;;;;;L'Aquila;42,351;13,399;;6;4,63;0,46
1849;1;6;2;40;;Romagna Toscana;44,096;11,414;;5-6;4,4;0,46
1849;6;18;6;25;;Alpi Marittime;44,229;7,561;;5;4,16;0,46
1849;6;23;;;;Alpi Marittime;44,175;7,566;;5;4,16;0,46
1849;10;1;0;30;;Maurienne;45,528;6,233;;6;4,74;0,26
1849;11;28;18;;;Val di Taro;44,453;9,792;;6;4,63;0,46
1850;1;1;11;0;;Etna - Versante sud-occidentale;37,617;14,922;;8;4,31;0,37
1850;2;14;1;;;Adriatico centrale;43;16;;;;
1850;7;10;2;30;;Slovenia nord-occidentale;46,368;13,957;;5;4,64;0,48
1850;9;1;9;45;;Val Pusteria;46,803;11,951;;6;4,63;0,46
1850;9;18;6;20;;Modenese;44,57;11,134;;5;4,16;0,46
1850;11;2;2;30;;Gargano;41,826;15,776;;5;4,16;0,46
1850;11;11;9;;;Aquilano;42,282;13,592;;6;4,63;0,46
1850;12;30;5;30;;Marsica;42,048;13,514;;6-7;4,86;0,46
1851;2;5;9;50;;Valtellina;46,157;9,768;;5;4,72;0,27
1851;2;15;17;;;Catanzaro;38,905;16,594;;5;4,16;0,46
1851;4;11;6;;;Stretto di Messina;38,147;15,601;;5;4,16;0,46
1851;8;3;;;;Valli Giudicarie;45,941;10,559;;6;4,92;0,42
1851;8;14;13;20;;Vulture;40,96;15,669;;10;6,52;0,11
1851;8;14;14;40;;Vulture;40,994;15,653;;7-8;5,48;0,27
1851;8;24;0;30;;Berna, Grone;46,25;7,45;;6;4,9;0,5
1852;1;17;0;5;;Reggio di Calabria;38,108;15,647;;6;4,63;0,46
1852;4;2;9;30;;Vulture;40,994;15,653;;4;4,13;0,38
1852;5;13;21;40;;Reggio di Calabria;38,108;15,647;;5;4,16;0,46
1852;7;28;;;;Alta Engadina;46,5;10;;4;3,2;1
1852;7;29;12;30;;Alta Engadina;46,477;9,782;;5;4,4;0,5
1852;12;9;21;15;;Gargano;41,703;15,482;;5;4,31;0,34
1853;2;19;10;;;Carnia;46,374;13,096;;7;5,1;0,46
1853;4;9;12;45;;Irpinia;40,818;15,215;;8;5,6;0,16
1853;5;17;15;17;;Siena;43,318;11,332;;4-5;3,93;0,46
1853;6;9;;;;Savignano Irpino;41,228;15,181;;5;4,16;0,46
1853;8;2;;;;Val di Cecina;43,35;10,867;;5-6;4,72;0,38
1853;9;22;;;;Spoleto;42,736;12,737;;6;4,63;0,46
1853;12;20;15;;;Narni;42,517;12,521;;6-7;4,86;0,46
1854;1;17;9;;;Narni;42,736;12,613;;5-6;4,71;0,38
1854;2;12;5;;;Valle Umbra;43,055;12,543;;8;5,57;0,28
1854;2;12;17;50;;Cosentino;39,256;16,295;;10;6,34;0,1
1854;6;16;13;25;;Imola;44,353;11,714;;5;4,57;0,32
1854;12;4;1;;;Senese;43,318;11,332;;4;3,7;0,46
1854;12;29;1;45;;Liguria occidentale;43,433;7,584;;7-8;5,72;0,14
1855;1;26;0;0;;Etna - Fondo Macchia (Giarre);37,724;15,147;;7-8;4,03;0,36
1855;1;28;19;45;;Cosenza;39,303;16,252;;5-6;4,4;0,46
1855;2;13;10;27;;Tarentaise;45,458;6,517;;5;4,31;0,18
1855;3;18;6;15;;Carinthia, Villach;46,61;13,85;;6;4,63;0,46
1855;6;29;3;3;;Colli Albani;41,808;12,681;;4;4,27;0,38
1855;7;25;11;50;;Vallese, Stalden-Visp;46,23;7,85;;8;6,2;0,5
1855;7;26;9;15;;Vallese, Stalden-Visp;46,23;7,88;;8;5,5;0,5
1855;7;26;13;20;;Vallese, Stalden-Visp;46,23;7,82;;7;5,3;0,5
1855;7;27;10;;;Vallese, Stalden-Visp;46,28;7,88;;6;4,7;1
1855;7;28;10;;;Vallese, Stalden-Visp;46,25;7,82;;7;5,1;0,5
1855;8;24;;;;Vallese, Stalden-Visp;46,25;7,88;;6;5;0,5
1855;8;26;9;;;Vallese, Stalden-Visp;46,25;7,92;;5;4,3;1
1855;9;17;8;;;Cosentino;39,303;16,252;;4-5;3,93;0,46
1855;9;20;7;30;;Cosenza;39,303;16,252;;4;3,7;0,46
1855;10;28;1;30;;Vallese, Stalden-Visp;46,25;7,92;;6;4,6;0,5
1855;11;6;3;;;Vallese, Stalden-Visp;46,23;7,92;;6;5;0,5
1856;5;12;1;45;;Barese;41,168;16,511;;5-6;4,4;0,46
1856;6;5;;;;Alta Valtiberina;43,67;12,041;;5-6;4,4;0,46
1856;8;6;13;45;;Vallese, Stalden-Visp;46,2;7,8;;5;4,3;0,5
1856;9;27;5;53;;Ljubljana;46,05;14,5;;5-6;4,4;0,46
1856;11;9;22;17;;Slovenia centrale;45,87;14,5;;7;5,1;0,46
1856;11;10;7;30;;Slovenia centrale;45,87;14,5;;5-6;4,4;0,46
1856;11;27;5;53;;Ljubljana;46,01;14,5;;5-6;4,4;0,46
1857;2;1;;;;Parmense-Reggiano;44,749;10,48;;6-7;5,11;0,21
1857;3;7;;;;Stiria;46,749;14,3;;6-7;5,21;0,34
1857;3;10;3;;;Prealpi Trevigiane;45,726;12,188;;4-5;4,04;0,53
1857;8;27;;;;Bassa Engadina;46,78;10,25;;6;4,7;0,5
1857;10;19;12;;;Carniola interna;45,57;14,25;;5;4,16;0,46
1857;11;4;7;15;;Vallese, Stalden-Visp;46,25;7,88;;5-6;4,3;1
1857;12;16;21;15;;Basilicata;40,352;15,842;;11;7,12;0,1
1857;12;25;1;30;;Carinthia, Rosegg;46,59;14,02;;7;5,1;0,46
1857;12;26;5;;;Basilicata;40,297;15,991;;7-8;5,33;0,46
1858;2;5;3;30;;Vallese, Stalden-Visp;46,28;7,88;;5;4,1;1
1858;3;7;14;;;Campania meridionale;40,108;15,612;;7-8;5,39;0,3
1858;3;7;19;;;Vibonati;40,111;15,674;;4;3,7;0,46
1858;3;8;4;;;Vibonati;40,111;15,674;;5-6;4,4;0,46
1858;5;24;9;20;;Tavoliere delle Puglie;41,092;16,192;;4-5;4,35;0,31
1858;8;30;14;30;;Cuneese;44,323;7,341;;5;4,45;0,49
1858;10;25;1;42;30;Val Chisone;44,888;7,307;;6;4,63;0,46
1859;1;20;7;55;;Prealpi Trevigiane;45,893;12,103;;6;4,8;0,23
1859;1;30;;;;Crete Senesi;43,182;11,529;;5-6;4,4;0,46
1859;2;4;;;;Balvano;40,65;15,512;;5;4,16;0,46
1859;4;12;3;28;;Senese;43,326;11,306;;6;4,46;0,32
1859;4;12;13;3;;Senese;43,331;11,349;;6-7;4,83;0,53
1859;4;28;6;45;;Tirol, Jenbach;47,39;11,77;;6;4,63;0,46
1859;8;22;;;;Valnerina;42,825;13,097;;8-9;5,73;0,29
1859;9;29;8;30;;Belluno;46,139;12,218;;5;4,16;0,46
1860;7;17;13;43;31;Reggiano;44,743;10,793;;4-5;3,93;0,46
1860;7;19;;;;Prealpi Trevigiane;45,889;12,146;;6-7;4,92;0,36
1861;1;28;5;30;;Santa Sofia;43,946;11,909;;6;4,63;0,46
1861;3;10;;;;Bacino di Gubbio;43,304;12,566;;6-7;4,79;0,65
1861;3;16;;;;Varese Ligure;44,377;9,592;;6;4,63;0,46
1861;5;9;1;53;;Val di Chiana;43,003;11,999;;6-7;5,02;0,33
1861;5;19;;;;Asolano;45,736;11,92;;6;4,63;0,46
1861;10;16;;;;Romagna;44,233;12,121;;6-7;5,13;0,37
1861;11;19;;;;Potenza;40,638;15,802;;5-6;4,4;0,46
1861;12;9;;;;Torre del Greco;40,786;14,367;;5-6;3,25;0,5
1861;12;12;6;10;;Colli Albani;41,831;12,641;;5;4,16;0,46
1862;1;25;0;20;;Carinthia, Loiblpass;46,49;14,27;;6;4,63;0,46
1862;5;4;21;;;Vallese, Saint Nicolas;46,25;7,867;;4-5;3,5;1
1862;5;27;1;20;;Tirol, Sillian;46,735;12,384;;5-6;4,78;0,15
1863;1;19;6;;;Cassinese;41,489;13,822;;6-7;4,86;0,46
1863;1;30;11;30;;Isola d'Ischia;40,746;13,909;;4;2,87;0,5
1864;3;15;;;;Zocca;44,337;11,059;;6-7;4,84;0,58
1864;4;5;19;30;;Gargano;41,63;15,917;;4;3,7;0,46
1864;12;11;17;40;;Mugello;44,042;11,282;;7;5,11;0,51
1864;12;28;12;;;Gargano;41,835;15,567;;6;4,63;0,46
1865;1;21;;;;Tirol, Woergl;47,49;12,07;;6;4,63;0,46
1865;3;27;1;;;Tarentaise;45,422;6,517;;5;4,34;0,32
1865;7;19;1;0;;Etna - Fondo Macchia (Giarre);37,702;15,153;;9;4,87;0,4
1865;8;18;9;0;;Etna - Versante sud-orientale;37,613;15,166;;5-6;2,91;0,3
1865;8;19;12;30;;Etna - S. Maria Ammalati (Acireale);37,641;15,165;;8;4,31;0,37
1865;9;21;20;50;;Alta Valtiberina;43,285;12,314;;7;5,1;0,46
1866;2;2;1;27;45;Ljubljana;46,05;14,5;;5-6;4,4;0,46
1866;2;15;;;;Valle Umbra;42,82;12,777;;5-6;4,4;0,46
1866;4;14;;;;Vorarlberg, Wald/Arlberg;47,15;10,02;;6;4,63;0,46
1866;8;11;23;;;Monte Baldo;45,737;10,797;;7;4,96;0,39
1866;9;22;14;40;;Piemonte centro-meridionale;44,853;7,691;;4-5;4,38;0,26
1867;2;12;12;3;29;Ljubljana;46,05;14,5;;5;4,16;0,46
1867;8;15;23;30;;Isola d'Ischia;40,746;13,909;;4-5;2,99;0,5
1867;10;3;2;;;Mistretta;37,928;14,361;;5;4,16;0,46
1867;11;1;16;15;;Siena;43,318;11,332;;5;4,16;0,46
1868;2;20;19;45;;Monte Baldo;45,741;10,802;;6-7;4,76;0,52
1868;5;22;21;15;;Garda settentrionale;45,888;10,869;;5;4,4;0,44
1868;6;17;1;50;;Monte Amiata;42,87;11,538;;5-6;4,4;0,46
